R3t,R3p,Et1,Ep,Et2,E
-3.5,-1.0,-7.715913788357284,-7.956899591139518,-9.723045311577152,-50.79171738214791
-3.5,-0.9,-7.715913788357284,-7.955529109342024,-9.61368349607801,-50.57025278755464
-3.5,-0.8,-7.715913788357284,-7.945957071729936,-9.458724294381682,-50.2411903089378
-3.5,-0.7,-7.715913788357284,-7.92953764507547,-9.265546595677733,-49.821996058220975
-3.5,-0.6,-7.715913788357284,-7.908075548009947,-9.043947714264505,-49.33587410126347
-3.5,-0.5,-7.715913788357284,-7.883730670204386,-8.805114898306783,-48.80951871373691
-3.5,-0.4,-7.715913788357284,-7.858969125547446,-8.560224100772757,-48.270214029354975
-3.5,-0.3,-7.715913788357284,-7.8362538911169395,-8.320024568005465,-47.74438449495938
-3.5,-0.2,-7.715913788357284,-7.817929971613921,-8.094191876531113,-47.256071273004636
-3.5,-0.1,-7.715913788357284,-7.806068777455948,-7.890732426720206,-46.825429985066876
-3.5,0.0,-7.715913788357284,-7.80199372745119,-7.715913788357284,-46.467642608331516
-3.5,0.1,-7.715913788357284,-7.806068777455948,-7.573694294434972,-46.19135372049641
-3.5,0.2,-7.715913788357284,-7.817929971613921,-7.466186771169305,-46.00006106228102
-3.5,0.3,-7.715913788357284,-7.836254518595524,-7.393845535989385,-45.892027685884386
-3.5,0.4,-7.715913788357284,-7.858969125547446,-7.354771743121091,-45.85930931405164
-3.5,0.5,-7.715913788357284,-7.883730670204386,-7.345278771826997,-45.889846460777335
-3.4,-4.0,-7.890732426720206,-6.200287002837285,-9.781141442246735,-47.74432174360845
-3.4,-3.9,-7.890732426720206,-6.281363804941066,-9.990651971078478,-48.3254964054795
-3.4,-3.8,-7.890732426720206,-6.357074141385965,-10.186927686387207,-48.869468508986756
-3.4,-3.7,-7.890732426720206,-6.427389146876521,-10.356606390385423,-49.3494559279643
-3.4,-3.6,-7.890732426720206,-6.492380357580259,-10.487597220344469,-49.74142000928987
-3.4,-3.5,-7.890732426720206,-6.552401689114049,-10.570415362773929,-50.02709895721637
-3.4,-3.4,-7.890732426720206,-6.607975229737349,-10.598829015507363,-50.195073343929835
-3.4,-3.3,-7.890732426720206,-6.659707154030912,-10.570415362773929,-50.24170988705009
-3.4,-3.2,-7.890732426720206,-6.7084458557656035,-10.487597220344469,-50.173551005660556
-3.4,-3.1,-7.890732426720206,-6.755330892978236,-10.356606390385423,-50.00533942016773
-3.4,-3.0,-7.890732426720206,-6.801658701268025,-10.186927686387207,-49.758637628750876
-3.4,-2.9,-7.890732426720206,-6.848989270394668,-9.990651971078478,-49.4607473363867
-3.4,-2.8,-7.890732426720206,-6.899010602734052,-9.781141442246735,-49.141768943401985
-3.4,-2.7,-7.890732426720206,-6.9532575871562585,-9.571457093290519,-48.830894214333966
-3.4,-2.6,-7.890732426720206,-7.012943828245625,-9.374034289561678,-48.55542108905502
-3.4,-2.5,-7.890732426720206,-7.078736996627413,-9.199228828947525,-48.33739650459029
-3.4,-2.4,-7.890732426720206,-7.1506032071774825,-9.055682778940536,-48.19403682567645
-3.4,-2.3,-7.890732426720206,-7.227822077577002,-8.950355225300882,-48.13781945919618
-3.4,-2.2,-7.890732426720206,-7.30904697207734,-8.886867528781295,-48.17329385515768
-3.4,-2.1,-7.890732426720206,-7.3923614748055115,-8.866761480632704,-48.29971076431684
-3.4,-2.0,-7.890732426720206,-7.475655897054821,-8.888738135923631,-48.51025291939732
-3.4,-1.9,-7.890732426720206,-7.556791685055941,-8.949147896026261,-48.793344015604816
-3.4,-1.8,-7.890732426720206,-7.6337231560610235,-9.042935540725011,-49.13478224701248
-3.4,-1.7,-7.890732426720206,-7.704674456850626,-9.161971050139982,-49.51475586742163
-3.4,-1.6,-7.890732426720206,-7.76822239428293,-9.296540569746867,-49.910990781500004
-3.4,-1.5,-7.890732426720206,-7.8232550212414935,-9.434977433353197,-50.29792976262979
-3.4,-1.4,-7.890732426720206,-7.869113452150486,-9.565122379688546,-50.649936517118476
-3.4,-1.3,-7.890732426720206,-7.905485186725855,-9.675114842597395,-50.94266491208691
-3.4,-1.2,-7.890732426720206,-7.932208327576518,-9.753757533442695,-51.15339657547884
-3.4,-1.1,-7.890732426720206,-7.9492590294685215,-9.791780246887356,-51.263543406152166
-3.4,-1.0,-7.890732426720206,-7.956899591139518,-9.782580950122792,-51.26042593596503
