R3t,R3p,Et1,Ep,Et2,E
-2.1,1.8,-6.978361752058845,-5.523914054152556,-4.963632965402212,-34.931817543227226
-2.1,1.9,-6.978361752058845,-5.454466267488897,-4.92056444415357,-34.70678492740262
-2.0,-4.0,-6.911036831792444,-4.09831550065428,-6.911036831792444,-35.840778328478336
-2.0,-3.9,-6.911036831792444,-4.173796168528497,-6.828951621195301,-35.827569243032485
-2.0,-3.8,-6.911036831792444,-4.245577037567273,-6.741039980261121,-35.795307699241675
-2.0,-3.7,-6.911036831792444,-4.313633007113822,-6.656027435499709,-35.76139454881195
-2.0,-3.6,-6.911036831792444,-4.378016788046807,-6.5819881580537185,-35.74208355578594
-2.0,-3.5,-6.911036831792444,-4.438994444906712,-6.525987283093855,-35.75203711958602
-2.0,-3.4,-6.911036831792444,-4.4969713487662375,-6.493848103447817,-35.803712568013
-2.0,-3.3,-6.911036831792444,-4.552446997840889,-6.490104378841352,-35.90717641694937
-2.0,-3.2,-6.911036831792444,-4.60603384161368,-6.517147549835499,-36.06843644648325
-2.0,-3.1,-6.911036831792444,-4.658547643688507,-6.575676034961361,-36.290521020884626
-2.0,-3.0,-6.911036831792444,-4.710905823041685,-6.6648031628574245,-36.57349163538311
-2.0,-2.9,-6.911036831792444,-4.764180166996084,-6.78122634824831,-36.91288669407368
-2.0,-2.8,-6.911036831792444,-4.8195629444671795,-6.9202612287481315,-37.30172201001551
-2.0,-2.7,-6.911036831792444,-4.87809582229238,-7.07548147480702,-37.72922825778369
-2.0,-2.6,-6.911036831792444,-4.940506711951457,-7.238433271704707,-38.17995363089722
-2.0,-2.5,-6.911036831792444,-5.007116898428649,-7.400072317570448,-38.63645209558308
-2.0,-2.4,-6.911036831792444,-5.077765739290044,-7.5506113391020335,-39.07882782036904
-2.0,-2.3,-6.911036831792444,-5.151764228474349,-7.680418057716452,-39.48643823596649
-2.0,-2.2,-6.911036831792444,-5.227970297797583,-7.780227288254537,-39.83846883568913
-2.0,-2.1,-6.911036831792444,-5.304906788864173,-7.843527359422296,-40.11894196015783
-2.0,-2.0,-6.911036831792444,-5.380939665599726,-7.864737197465729,-40.3134273897158
-2.0,-1.9,-6.911036831792444,-5.454466267488897,-7.843527359422296,-40.418060917407274
-2.0,-1.8,-6.911036831792444,-5.523914054152556,-7.780227288254537,-40.43035634839907
-2.0,-1.7,-6.911036831792444,-5.587948939646594,-7.680418057716452,-40.35880765831098
-2.0,-1.6,-6.911036831792444,-5.645495371660218,-7.5506113391020335,-40.21428708510939
-2.0,-1.5,-6.911036831792444,-5.695688641513698,-7.400072317570448,-40.01359558175318
-2.0,-1.4,-6.911036831792444,-5.738014191039838,-7.238433271704707,-39.77496858907398
-2.0,-1.3,-6.911036831792444,-5.772221016115509,-7.07548147480702,-39.51747864542995
-2.0,-1.2,-6.911036831792444,-5.798172319773585,-6.9202612287481315,-39.25894076062832
